Names_mpio,Names_depto,URL_mpio,URL_depto,Alcalde,Partido Político
LETICIA,AMAZONAS,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL60001ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL60ZZZZZZZZZZZZZZZ_L1.htm,JOSE HUBER ARAUJO NIETO,PARTIDO CENTRO DEMOCRÁTICO
PUERTO NARIÑO,AMAZONAS,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL60007ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL60ZZZZZZZZZZZZZZZ_L1.htm,JOSE ALBERTO LOZADA PINEDO,PARTIDO CENTRO DEMOCRÁTICO
ABEJORRAL,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01004ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,MARIO DE JESUS GUTIERREZ GUZMAN,PARTIDO LIBERAL COLOMBIANO
ABRIAQUI,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01007ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,JHON FREDY LOPEZ SEPULVEDA,PARTIDO CONSERVADOR COLOMBIANO
ALEJANDRIA,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01010ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,LUIS FERNANDO LOPEZ PEREZ,PARTIDO DE LA U
AMAGA,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01013ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,WILSER DARIO MOLINA MOLINA,PARTIDO CENTRO DEMOCRÁTICO
AMALFI,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01016ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,ROMAN FERNANDO MONSALVE SANCHEZ,PARTIDO CAMBIO RADICAL
ANDES,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01019ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,JOHN JAIRO MEJIA ARAMBURO,PARTIDO DE LA U
ANGELOPOLIS,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01022ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,OLGA LUCIA ZAPATA MARIN,COALICIÓN PART. CONSERVADOR - PART. LIBERAL - PART. OPCIÓN CIUDADANA
ANGOSTURA,ANTIOQUIA,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01025ZZZZZZZZZZZZ_L1.htm,http://elecciones.registraduria.gov.co:81/esc_elec_2015/99AL/DAL01ZZZZZZZZZZZZZZZ_L1.htm,MARTA LUCIA PORRAS ARENAS,PARTIDO CONSERVADOR COLOMBIANO
