PAÍS,TIPO,URL PAÍS,URL CONSULADO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
ALEMANIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88120ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,19.17,564,2942,86.67,488,13.32,75,563,0,1,1,0.8082936778
ANTIGUA Y BARBUDA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88125ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1
ARGENTINA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88155ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,23.11,1396,6040,83.76,1166,16.23,226,1392,2,2,1,0.7688741722
ARUBA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88160ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,7,7,21.69,656,3024,34.86,228,65.13,426,654,1,1,1,0.7830687831
AUSTRALIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88165ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,25.37,975,3843,71.28,695,28.71,280,975,0,0,1,0.7462919594
AUSTRIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88170ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,32.43,168,518,82.73,139,17.26,29,168,0,0,1,0.6756756757
BELGICA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88190ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,4,4,25.95,386,1487,81.55,314,18.44,71,385,1,0,1,0.7404169469
BOLIVIA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88215ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,17.49,127,726,52.75,67,47.24,60,127,0,0,1,0.8250688705
BRASIL,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88220ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,8,8,23.45,476,2029,81.85,388,18.14,86,474,0,2,1,0.7654016757
CANADA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88250ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,41,41,24.67,4283,17355,63.54,2717,36.45,1559,4276,1,6,1,0.7532123307
CHILE,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88305ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,24.9,1302,5228,67.61,879,32.38,421,1300,1,1,1,0.7509563887
CHINA REPUBLICA POPULAR,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88315ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,18.13,78,430,87.17,68,12.82,10,78,0,0,1,0.8186046512
CHIPRE,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88320ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,58.53,24,41,56.52,13,43.47,10,23,0,1,1,0.4146341463
COREA DEL SUR,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88275ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,22,22,100,90.9,20,9.09,2,22,0,0,1,0.78
COSTA RICA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88285ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,18,18,21.57,1661,7700,49.78,825,50.21,832,1657,0,4,1,0.7842857143
CUBA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88290ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,9.04,17,188,94.11,16,5.88,1,17,0,0,1,0.9095744681
CURAZAO,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88140ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,17.63,233,1321,38.52,89,61.47,142,231,0,2,1,0.8236184709
DINAMARCA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88325ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,50.87,29,57,96.55,28,3.44,1,29,0,0,1,0.4912280702
ECUADOR,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88330ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,92.85,52,56,11.63,2700,23212,62.98,1686,37.01,991,2677,10,13,0.9285714286,0.8836808547
EGIPTO,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88335ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,11.11,16,144,87.5,14,12.5,2,16,0,0,1,0.8888888889
EL SALVADOR,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88340ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,28.17,133,472,49.62,66,50.37,67,133,0,0,1,0.718220339
EMIRATOS ARABES UNIDOS,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88350ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,36.21,281,776,22.5,63,77.5,217,280,0,1,1,0.6378865979
ESPAÑA,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88355ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,193,193,8.33,7138,85658,68.63,4891,31.36,2235,7126,8,4,1,0.9166686124
ESTADOS UNIDOS,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88360ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,99.07,427,431,17.85,34205,191606,37.51,12816,62.48,21347,34163,9,33,0.9907192575,0.8214826258
FILIPINAS,CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88370ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,24.24,16,66,75,12,25,4,16,0,0,1,0.7575757576
