DEPARTAMENTO,URL DEPARTAMENTO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,110,110,26.15,11714,44795,56.64,6524,43.35,4994,11518,82,114,1,0.7384976002
ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,99.99,10353,10354,38.37,1742139,4539316,37.99,648051,62,1057518,1705569,14154,22416,0.999903419,0.6162111208
ARAUCA,http://plebiscito.registraduria.gov.co/99PL/DPL40ZZZZZZZZZZZZZZZ_L1.htm,100,423,423,34.58,61088,176625,48.62,28653,51.37,30274,58927,638,1523,1,0.6541372965
ATLANTICO,http://plebiscito.registraduria.gov.co/99PL/DPL03ZZZZZZZZZZZZZZZ_L1.htm,100,4112,4112,24.1,430989,1788211,60.53,258121,39.46,168300,426421,2436,2132,1,0.7589831401
BOGOTA D.C.,http://plebiscito.registraduria.gov.co/99PL/DPL16ZZZZZZZZZZZZZZZ_L1.htm,100,12078,12078,46.33,2570359,5547172,56.07,1423612,43.92,1114933,2538545,6601,25213,1,0.5366361454
BOLIVAR,http://plebiscito.registraduria.gov.co/99PL/DPL05ZZZZZZZZZZZZZZZ_L1.htm,100,3577,3577,23.33,350488,1502228,60.23,208019,39.76,137307,345326,2539,2623,1,0.7666878796
BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100,2259,2259,41.74,387666,928625,50.08,188840,49.91,188170,377010,3110,7546,1,0.5825376228
CALDAS,http://plebiscito.registraduria.gov.co/99PL/DPL09ZZZZZZZZZZZZZZZ_L1.htm,100,1837,1837,41.82,325680,778593,42.9,135540,57.09,180366,315906,3325,6449,1,0.5817070022
CAQUETA,http://plebiscito.registraduria.gov.co/99PL/DPL44ZZZZZZZZZZZZZZZ_L1.htm,100,668,668,30.41,85490,281054,46.95,39197,53.04,44282,83479,797,1214,1,0.6958235784
CASANARE,http://plebiscito.registraduria.gov.co/99PL/DPL46ZZZZZZZZZZZZZZZ_L1.htm,100,677,677,48.98,128914,263184,28.85,36118,71.14,89054,125172,943,2799,1,0.5101753906
CAUCA,http://plebiscito.registraduria.gov.co/99PL/DPL11ZZZZZZZZZZZZZZZ_L1.htm,100,2419,2419,38.98,361577,927398,67.39,235219,32.6,113776,348995,5210,7372,1,0.6101166921
CESAR,http://plebiscito.registraduria.gov.co/99PL/DPL12ZZZZZZZZZZZZZZZ_L1.htm,100,1779,1779,32.53,243022,746859,50.66,120595,49.33,117446,238041,1683,3298,1,0.6746079247
CHOCO,http://plebiscito.registraduria.gov.co/99PL/DPL17ZZZZZZZZZZZZZZZ_L1.htm,100,883,883,32.87,97649,297026,79.76,75257,20.23,19095,94352,1193,2104,1,0.6712442682
CORDOBA,http://plebiscito.registraduria.gov.co/99PL/DPL13ZZZZZZZZZZZZZZZ_L1.htm,100,2858,2858,31.65,378979,1197222,60.73,225223,39.26,145611,370834,3701,4444,1,0.6834513566
CUNDINAMARCA,http://plebiscito.registraduria.gov.co/99PL/DPL15ZZZZZZZZZZZZZZZ_L1.htm,100,4107,4107,44.82,791553,1765786,43.47,336874,56.52,437928,774802,3728,13023,1,0.5517276725
GUAINIA,http://plebiscito.registraduria.gov.co/99PL/DPL50ZZZZZZZZZZZZZZZ_L1.htm,97.05,66,68,24.02,6105,25416,55.52,3326,44.47,2664,5990,54,61,0.9705882353,0.7597969783
