MUNICIPIO,DEPARTAMENTO,URL MUNICIPIO,URL DEPARTAMENTO,PORCENTAJE ESCRUTADO,NÚMERO DE MESAS INSTALADAS,TOTAL MESAS,PORCENTAJE VOTACIÓN,NÚMERO DE VOTOS,NÚMERO PERSONAS HÁBILES PARA VOTAR,PORCENTAJE SÍ,VOTOS SÍ,PORCENTAJE NO,VOTOS NO,VOTOS VÁLIDOS,VOTOS NO MARCADOS,VOTOS NULOS,PORCENTAJE MESAS INSCRITAS,PORCENTAJE ABSTENCIONISMO
EL ENCANTO,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60010ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,30.01,223,743,76.92,170,23.07,51,221,0,2,1,0.6998654105
LA CHORRERA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60013ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,35.53,366,1030,82.87,300,17.12,62,362,1,3,1,0.6446601942
LA PEDRERA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60016ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,21.42,216,1008,88.31,189,11.68,25,214,1,1,1,0.7857142857
LA VICTORIA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,27.77,5,18,80,4,20,1,5,0,0,1,0.7222222222
LETICIA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60001ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,82,82,25.98,8990,34592,49.66,4403,50.33,4463,8866,40,84,1,0.740113321
MIRITI PARANA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60019ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,20.12,96,477,92.7,89,7.29,7,96,0,0,1,0.7987421384
PUERTO ALEGRIA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60030ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,22.77,59,259,91.22,52,8.77,5,57,1,1,1,0.7722007722
PUERTO ARICA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60040ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,1,1,29.38,119,405,81.51,97,18.48,22,119,0,0,1,0.7061728395
PUERTO NARIÑO,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60007ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,10,10,26.7,1153,4317,75.18,830,24.81,274,1104,32,17,1,0.7329163771
PUERTO SANTANDER,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60021ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,2,2,22.27,143,642,88.65,125,11.34,16,141,0,2,1,0.777258567
TARAPACA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60022ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100,3,3,26.38,344,1304,79.57,265,20.42,68,333,7,4,1,0.736196319
ABEJORRAL,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01004ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,39,39,23.87,3647,15274,38.1,1296,61.89,2105,3401,194,52,1,0.761228231
ABRIAQUI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01007ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,6,6,29.51,572,1938,39.08,213,60.91,332,545,14,13,1,0.7048503612
ALEJANDRIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01010ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,11,11,37.9,1735,4577,58.12,966,41.87,696,1662,51,22,1,0.6209307407
AMAGA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01013ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,53,53,28.91,6370,22028,33.48,2084,66.51,4139,6223,53,94,1,0.7108225894
AMALFI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01016ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,40,40,22.55,3818,16928,36.24,1310,63.75,2304,3614,132,72,1,0.7744565217
ANDES,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01019ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,76,76,26.09,9093,34842,35.78,3193,64.21,5729,8922,78,93,1,0.7390218702
ANGELOPOLIS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01022ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100,14,14,27.98,1589,5679,35.51,553,64.48,1004,1557,9,23,1,0.7201972178
