Depto,Gobernador,Partido Político
" 

			Amazonas

			 ",Manuel Antonio Carebilla Cuéllar,Cambio Radical
" 

			Antioquia

			 ",Luis Pérez,Liberal - Cambio
" 

			Arauca

			 ",Ricardo Alvarado Bestene,U. CR
" 

			Atlántico

			 ",Eduardo I. Verano de la Rosa,Liberal
" 

			Bolívar

			 ",Umek José Turbay Paz,Cambio Radical
" 

			Boyacá

			 ",Carlos Andrés Amaya Rodríguez,Alianza Verde-Liberal
" 

			Caldas

			 ",Guido Echeverri Piedrahíta,U- Cambio Democráta
" 

			Caquetá

			 ",Álvaro Pacheco Álvarez,Liberal
" 

			Casanare

			 ",Josue Alirio Barrera Rodríguez,Centro Democrático
" 

			Cauca

			 ",Óscar Rodrigo Campo Hurtado,"Liberal, Cambio, Aico"
" 

			Cesar

			 ",Francisco Fernando Ovalle Angarita,La U
" 

			Chocó

			 ",Jhoany Carlos Alberto Palacios Mosquera,Liberal-U-Indígenas
" 

			Córdoba

			 ",Edwin José Besaile Fayad,U-Liberal-Aico
Cundinamarca," 

			Jorge Emilio Rey Ángel

			 ",Cambio-U-ASI
" 

			Guainía

			 ", Javier Eliecer Zapata Parrado.,Liberal-Cambio
" 

			Guaviare

			 ",Nebio De Jesús Echeverry Cadavid,Aico
" 

			Huila

			 ",Carlos Julio González Villa,Cambio Radial-ASI
" 

			La Guajira

			 ",Oneida Rayeth Pinto Pérez,Cambio Radical
" 

			Magdalena

			 ",Rosa Cotes De Zuñiga,Cambio Radical
" 

			Meta

			 ",Marcela Amaya,Liberal-Alianza Verde
" 

			Nariño

			 ",Camilo Romero,Somos Nariño
" 

			N. de Santander

			 ",William Villamizar Laguado,U - Liberal
" 

			Putumayo

			 ",Sorrel Parisa Aroca Rodríguez,Verde-U-Cambio
" 

			Quindío

			 ",Carlos Eduardo Osorio Buritica,Lib-Conservador.Laico
" 

			Risaralda

			 ",Sigifredo Salazar Osorio,Conservador
San Andrés," 

			Ronald Housni Jaller

			 ",Liberal - U
" 

			Santander

			 ",Didier Alberto Tavera Amado,Liberal
" 

			Sucre

			 ",Edgar Enrique Martínez Romero,Cambio Radical
" 

			Tolima

			 ",Óscar Barreto Quiroga,Conservador-OC. Centro
" 

			Valle del Cauca

			 ",Dilian Francisca Toro Torres,La U
" 

			Vaupés

			 ",Jesús María Vásquez Caicedo,Cambio Radical
" 

			Vichada

			 ",Luis Carlos Álvarez Morales,La U - Cambio Radical
