Name_Depto,URL_Depto, Mesas instaladas,Mesas informadas,Potencial sufragantes,Total sufragantes,Votos por candidatos,Votos en blanco,Votos válidos,Votos nulos,Votos no marcados,Votos_Santos,Porc_Votos_Santos,Votos_Zuluaga,Porc_Votos_Zuluaga
COLOMBIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR9999999_L1.htm,89391,89391,32975158,15818214,14756343,618759,15375102,401459,41653,7839342,50.98,6917001,44.98
AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,114,114,41313,16255,15467,426,15893,278,84,6967,43.83,8500,53.48
ANTIOQUIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0199999_L1.htm,11228,11228,4269005,2048043,1843592,124919,1968511,71596,7936,704585,35.79,1139007,57.86
ARAUCA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR4099999_L1.htm,443,443,162215,77850,73739,2290,76029,1437,384,37305,49.06,36434,47.92
ATLANTICO,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0399999_L1.htm,4677,4677,1694687,701949,682331,11727,694058,6594,1297,542942,78.22,139389,20.08
BOGOTA D.C.,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1699999_L1.htm,14232,14232,5204003,2631907,2418779,135053,2553832,75902,2173,1341963,52.54,1076816,42.16
BOLIVAR,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0599999_L1.htm,3772,3772,1426211,541508,522703,11789,534492,5798,1218,310048,58.00,212655,39.78
BOYACA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0799999_L1.htm,2419,2419,890579,488838,452039,18454,470493,16706,1639,187369,39.82,264670,56.25
CALDAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR0999999_L1.htm,1993,1993,757628,407177,370387,19860,390247,15075,1855,131239,33.62,239148,61.28
CAQUETA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR4499999_L1.htm,698,698,263579,109220,102388,4317,106705,2004,511,34619,32.44,67769,63.51
CASANARE,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR4699999_L1.htm,667,667,238588,141166,131602,5287,136889,3828,449,25162,18.38,106440,77.75
CAUCA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1199999_L1.htm,2532,2532,880065,444307,420485,12221,432706,9421,2180,312472,72.21,108013,24.96
CESAR,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1299999_L1.htm,1841,1841,693676,337375,324908,6926,331834,4923,618,201362,60.68,123546,37.23
CHOCO,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1799999_L1.htm,915,915,281834,100684,94741,2588,97329,2795,560,61852,63.54,32889,33.79
CORDOBA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1399999_L1.htm,3028,3028,1147160,599892,583045,8637,591682,6725,1485,376652,63.65,206393,34.88
CUNDINAMARCA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1599999_L1.htm,4343,4343,1671978,931287,856854,39076,895930,33369,1988,370791,41.38,486063,54.25
GUAINIA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR5099999_L1.htm,67,67,21933,7922,7610,201,7811,82,29,4274,54.71,3336,42.70
GUAVIARE,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR5499999_L1.htm,146,146,53118,22266,20887,802,21689,480,97,10055,46.35,10832,49.94
HUILA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR1999999_L1.htm,1931,1931,747855,380593,358794,11976,370770,8643,1180,95987,25.88,262807,70.88
LA GUAJIRA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR4899999_L1.htm,1364,1364,515571,170863,165881,2806,168687,1748,428,120033,71.15,45848,27.17
MAGDALENA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2199999_L1.htm,2248,2248,857502,387863,376674,6198,382872,4302,689,259428,67.75,117246,30.62
META,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR5299999_L1.htm,1640,1640,616958,333958,311809,11794,323603,9532,823,105748,32.67,206061,63.67
NARIÑO,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2399999_L1.htm,3035,3035,1035439,534344,509417,13396,522813,9249,2282,345485,66.08,163932,31.35
NORTE DE SAN,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2599999_L1.htm,2759,2759,1051248,488426,459473,16195,475668,11452,1306,239539,50.35,219934,46.23
PUTUMAYO,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6499999_L1.htm,540,540,196858,89334,84754,2813,87567,1356,411,58561,66.87,26193,29.91
QUINDIO,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2699999_L1.htm,1131,1131,436071,232317,211292,11433,222725,8775,817,99822,44.81,111470,50.04
RISARALDA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2499999_L1.htm,1833,1833,723490,380911,342983,21730,364713,14701,1497,149814,41.07,193169,52.96
SAN ANDRES,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR5699999_L1.htm,114,114,45643,10975,10487,372,10859,92,24,5773,53.16,4714,43.41
SANTANDER,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2799999_L1.htm,4302,4302,1557847,829592,777684,30026,807710,20049,1833,429356,53.15,348328,43.12
SUCRE,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2899999_L1.htm,1737,1737,630267,336316,326452,5428,331880,3640,796,199424,60.08,127028,38.27
TOLIMA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR2999999_L1.htm,2656,2656,999201,514868,481106,17780,498886,14156,1826,184496,36.98,296610,59.45
VALLE,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR3199999_L1.htm,8904,8904,3239661,1388874,1290894,58960,1349854,35946,3074,831748,61.61,459146,34.01
VAUPES,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6899999_L1.htm,60,60,19757,5982,5798,93,5891,64,27,4149,70.42,1649,27.99
VICHADA,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR7299999_L1.htm,132,132,44266,14070,13531,335,13866,164,40,6452,46.53,7079,51.05
CONSULADOS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR8899999_L1.htm,1890,1890,559952,111282,107757,2851,110608,577,97,43870,39.66,63887,57.75
