Names_mpio,Names_depto,URL_mpio,URL_depto, Mesas instaladas,Mesas informadas,Potencial sufragantes,Total sufragantes,Votos por candidatos,Votos en blanco,Votos válidos,Votos nulos,Votos no marcados,Votos_Santos,Porc_Votos_Santos,Votos_Zuluaga,Porc_Votos_Zuluaga
EL ENCANTO,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,746,249,230,2,232,15,2,110,47.41,120,51.72
LA CHORRERA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001399_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,3,3,1038,493,484,0,484,6,3,337,69.62,147,30.37
LA PEDRERA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001699_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,3,3,1042,187,179,3,182,4,1,116,63.73,63,34.61
LA VICTORIA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,1,1,23,6,5,1,6,0,0,2,33.33,3,50.00
LETICIA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6000199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,83,83,31335,12662,12000,384,12384,216,62,4893,39.51,7107,57.38
MIRITI PARANA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6001999_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,459,75,72,2,74,1,0,63,85.13,9,12.16
PUERTO ALEGRIA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6003099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,1,1,277,62,60,2,62,0,0,38,61.29,22,35.48
PUERTO ARICA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6004099_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,403,119,118,0,118,1,0,71,60.16,47,39.83
PUERTO NARIÑO,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6000799_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,11,11,4014,1788,1723,24,1747,32,9,930,53.23,793,45.39
PUERTO SANTANDER,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6002199_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,2,2,654,179,177,2,179,0,0,106,59.21,71,39.66
TARAPACA,AMAZONAS,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6002299_L1.htm,http://www3.registraduria.gov.co/elecciones/elecciones2014/presidente/2v/99PR2/DPR6099999_L1.htm,4,4,1322,435,419,6,425,3,7,301,70.82,118,27.76
