Names_depto,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
Todos,http://plebiscito.registraduria.gov.co/99PL/DPLZZZZZZZZZZZZZZZZZ_L1.htm,99.98,81916.0,81928.0,37.43,13066047.0,34899945.0,49.78,6377482.0,50.21,6431376.0,12808858.0,86243.0,170946.0,0.9998535299287179,0.6256141091339829
AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,110.0,110.0,26.15,11714.0,44795.0,56.64,6524.0,43.35,4994.0,11518.0,82.0,114.0,1.0,0.7384976001785913
ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,99.99,10353.0,10354.0,38.37,1742139.0,4539316.0,37.99,648051.0,62.0,1057518.0,1705569.0,14154.0,22416.0,0.9999034189685145,0.6162111207944104
ARAUCA,http://plebiscito.registraduria.gov.co/99PL/DPL40ZZZZZZZZZZZZZZZ_L1.htm,100.0,423.0,423.0,34.58,61088.0,176625.0,48.62,28653.0,51.37,30274.0,58927.0,638.0,1523.0,1.0,0.654137296532201
ATLANTICO,http://plebiscito.registraduria.gov.co/99PL/DPL03ZZZZZZZZZZZZZZZ_L1.htm,100.0,4112.0,4112.0,24.1,430989.0,1788211.0,60.53,258121.0,39.46,168300.0,426421.0,2436.0,2132.0,1.0,0.758983140132792
BOGOTA D.C.,http://plebiscito.registraduria.gov.co/99PL/DPL16ZZZZZZZZZZZZZZZ_L1.htm,100.0,12078.0,12078.0,46.33,2570359.0,5547172.0,56.07,1423612.0,43.92,1114933.0,2538545.0,6601.0,25213.0,1.0,0.5366361454088677
BOLIVAR,http://plebiscito.registraduria.gov.co/99PL/DPL05ZZZZZZZZZZZZZZZ_L1.htm,100.0,3577.0,3577.0,23.33,350488.0,1502228.0,60.23,208019.0,39.76,137307.0,345326.0,2539.0,2623.0,1.0,0.7666878796028299
BOYACA,http://plebiscito.registraduria.gov.co/99PL/DPL07ZZZZZZZZZZZZZZZ_L1.htm,100.0,2259.0,2259.0,41.74,387666.0,928625.0,50.08,188840.0,49.91,188170.0,377010.0,3110.0,7546.0,1.0,0.5825376228294521
CALDAS,http://plebiscito.registraduria.gov.co/99PL/DPL09ZZZZZZZZZZZZZZZ_L1.htm,100.0,1837.0,1837.0,41.82,325680.0,778593.0,42.9,135540.0,57.09,180366.0,315906.0,3325.0,6449.0,1.0,0.5817070022463597
CAQUETA,http://plebiscito.registraduria.gov.co/99PL/DPL44ZZZZZZZZZZZZZZZ_L1.htm,100.0,668.0,668.0,30.41,85490.0,281054.0,46.95,39197.0,53.04,44282.0,83479.0,797.0,1214.0,1.0,0.6958235783870715
CASANARE,http://plebiscito.registraduria.gov.co/99PL/DPL46ZZZZZZZZZZZZZZZ_L1.htm,100.0,677.0,677.0,48.98,128914.0,263184.0,28.85,36118.0,71.14,89054.0,125172.0,943.0,2799.0,1.0,0.5101753906012523
CAUCA,http://plebiscito.registraduria.gov.co/99PL/DPL11ZZZZZZZZZZZZZZZ_L1.htm,100.0,2419.0,2419.0,38.98,361577.0,927398.0,67.39,235219.0,32.6,113776.0,348995.0,5210.0,7372.0,1.0,0.6101166920782664
CESAR,http://plebiscito.registraduria.gov.co/99PL/DPL12ZZZZZZZZZZZZZZZ_L1.htm,100.0,1779.0,1779.0,32.53,243022.0,746859.0,50.66,120595.0,49.33,117446.0,238041.0,1683.0,3298.0,1.0,0.6746079246551223
CHOCO,http://plebiscito.registraduria.gov.co/99PL/DPL17ZZZZZZZZZZZZZZZ_L1.htm,100.0,883.0,883.0,32.87,97649.0,297026.0,79.76,75257.0,20.23,19095.0,94352.0,1193.0,2104.0,1.0,0.6712442681785433
CONSULADOS,http://plebiscito.registraduria.gov.co/99PL/DPL88ZZZZZZZZZZZZZZZ_L1.htm,99.34,1363.0,1372.0,13.85,82996.0,599026.0,54.13,44801.0,45.86,37955.0,82756.0,82.0,158.0,0.9934402332361516,0.861448417931776
CORDOBA,http://plebiscito.registraduria.gov.co/99PL/DPL13ZZZZZZZZZZZZZZZ_L1.htm,100.0,2858.0,2858.0,31.65,378979.0,1197222.0,60.73,225223.0,39.26,145611.0,370834.0,3701.0,4444.0,1.0,0.6834513565570963
CUNDINAMARCA,http://plebiscito.registraduria.gov.co/99PL/DPL15ZZZZZZZZZZZZZZZ_L1.htm,100.0,4107.0,4107.0,44.82,791553.0,1765786.0,43.47,336874.0,56.52,437928.0,774802.0,3728.0,13023.0,1.0,0.5517276725492217
GUAINIA,http://plebiscito.registraduria.gov.co/99PL/DPL50ZZZZZZZZZZZZZZZ_L1.htm,97.05,66.0,68.0,24.02,6105.0,25416.0,55.52,3326.0,44.47,2664.0,5990.0,54.0,61.0,0.9705882352941176,0.7597969782813976
