Names_mpio,Names_depto,URL_mpio,URL_depto,Porc_escrutado,Num_mesas,Total_mesas,Votacion,Num_Votos,Num_Personas_Habilitadas,Porc_SI,Votos_SI,Porc_NO,Votos_NO,Votos_Válidos,Votos_no_marcados,Votos_nulos,Porc_Mesas_Inscritas,Porc_Abstensionismo
EL ENCANTO,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60010ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,2.0,2.0,30.01,223.0,743.0,76.92,170.0,23.07,51.0,221.0,0.0,2.0,1.0,0.6998654104979811
LA CHORRERA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60013ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,3.0,3.0,35.53,366.0,1030.0,82.87,300.0,17.12,62.0,362.0,1.0,3.0,1.0,0.6446601941747573
LA PEDRERA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60016ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,3.0,3.0,21.42,216.0,1008.0,88.31,189.0,11.68,25.0,214.0,1.0,1.0,1.0,0.7857142857142857
LA VICTORIA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60017ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,1.0,1.0,27.77,5.0,18.0,80.0,4.0,20.0,1.0,5.0,0.0,0.0,1.0,0.7222222222222222
LETICIA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60001ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,82.0,82.0,25.98,8990.0,34592.0,49.66,4403.0,50.33,4463.0,8866.0,40.0,84.0,1.0,0.7401133209990749
MIRITI PARANA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60019ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,2.0,2.0,20.12,96.0,477.0,92.7,89.0,7.29,7.0,96.0,0.0,0.0,1.0,0.7987421383647799
PUERTO ALEGRIA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60030ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,1.0,1.0,22.77,59.0,259.0,91.22,52.0,8.77,5.0,57.0,1.0,1.0,1.0,0.7722007722007722
PUERTO ARICA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60040ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,1.0,1.0,29.38,119.0,405.0,81.51,97.0,18.48,22.0,119.0,0.0,0.0,1.0,0.7061728395061728
PUERTO NARIÑO,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60007ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,10.0,10.0,26.7,1153.0,4317.0,75.18,830.0,24.81,274.0,1104.0,32.0,17.0,1.0,0.7329163771137364
PUERTO SANTANDER,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60021ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,2.0,2.0,22.27,143.0,642.0,88.65,125.0,11.34,16.0,141.0,0.0,2.0,1.0,0.7772585669781932
TARAPACA,AMAZONAS,http://plebiscito.registraduria.gov.co/99PL/DPL60022ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL60ZZZZZZZZZZZZZZZ_L1.htm,100.0,3.0,3.0,26.38,344.0,1304.0,79.57,265.0,20.42,68.0,333.0,7.0,4.0,1.0,0.7361963190184049
ABEJORRAL,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01004ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,39.0,39.0,23.87,3647.0,15274.0,38.1,1296.0,61.89,2105.0,3401.0,194.0,52.0,1.0,0.7612282309807517
ABRIAQUI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01007ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,6.0,6.0,29.51,572.0,1938.0,39.08,213.0,60.91,332.0,545.0,14.0,13.0,1.0,0.7048503611971104
ALEJANDRIA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01010ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,11.0,11.0,37.9,1735.0,4577.0,58.12,966.0,41.87,696.0,1662.0,51.0,22.0,1.0,0.6209307406598208
AMAGA,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01013ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,53.0,53.0,28.91,6370.0,22028.0,33.48,2084.0,66.51,4139.0,6223.0,53.0,94.0,1.0,0.7108225894316325
AMALFI,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01016ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,40.0,40.0,22.55,3818.0,16928.0,36.24,1310.0,63.75,2304.0,3614.0,132.0,72.0,1.0,0.7744565217391304
ANDES,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01019ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,76.0,76.0,26.09,9093.0,34842.0,35.78,3193.0,64.21,5729.0,8922.0,78.0,93.0,1.0,0.7390218701567074
ANGELOPOLIS,ANTIOQUIA,http://plebiscito.registraduria.gov.co/99PL/DPL01022ZZZZZZZZZZZZ_L1.htm,http://plebiscito.registraduria.gov.co/99PL/DPL01ZZZZZZZZZZZZZZZ_L1.htm,100.0,14.0,14.0,27.98,1589.0,5679.0,35.51,553.0,64.48,1004.0,1557.0,9.0,23.0,1.0,0.7201972178200388
